Age,Age_Group,Job,Marital_Status,Education,Has_Credit_Default,Has_Housing_Loan,Has_Personal_Loan,Contact_Type,Contact_Month,Contact_Day,Call_Duration_Seconds,Call_Duration_Minutes,Campaign_Contacts,Campaign_Contact_Group,Days_Since_Previous_Contact,Previous_Contact_Status,Days_Since_Previous_Contact_Clean,Previous_Contacts,Previous_Campaign_Outcome,Employment_Variation_Rate,Consumer_Price_Index,Consumer_Confidence_Index,Euribor_3_Month,Number_Employed,Subscribed_Term_Deposit,Subscribed_Flag
56,55-64,Housemaid,Married,Basic 4 Years,No,No,No,telephone,may,mon,261,4.35,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
57,55-64,Services,Married,High School,Unknown,No,No,telephone,may,mon,149,2.48,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
37,35-44,Services,Married,High School,No,Yes,No,telephone,may,mon,226,3.77,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
40,35-44,Admin,Married,Basic 6 Years,No,No,No,telephone,may,mon,151,2.52,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
56,55-64,Services,Married,High School,No,No,Yes,telephone,may,mon,307,5.12,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
45,45-54,Services,Married,Basic 9 Years,Unknown,No,No,telephone,may,mon,198,3.3,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
59,55-64,Admin,Married,Professional Course,No,No,No,telephone,may,mon,139,2.32,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
41,35-44,Blue Collar,Married,Unknown,Unknown,No,No,telephone,may,mon,217,3.62,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
24,Below 25,Technician,Single,Professional Course,No,Yes,No,telephone,may,mon,380,6.33,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
25,25-34,Services,Single,High School,No,Yes,No,telephone,may,mon,50,0.83,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
41,35-44,Blue Collar,Married,Unknown,Unknown,No,No,telephone,may,mon,55,0.92,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
25,25-34,Services,Single,High School,No,Yes,No,telephone,may,mon,222,3.7,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
29,25-34,Blue Collar,Single,High School,No,No,Yes,telephone,may,mon,137,2.28,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
57,55-64,Housemaid,Divorced,Basic 4 Years,No,Yes,No,telephone,may,mon,293,4.88,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
35,35-44,Blue Collar,Married,Basic 6 Years,No,Yes,No,telephone,may,mon,146,2.43,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
54,45-54,Retired,Married,Basic 9 Years,Unknown,Yes,Yes,telephone,may,mon,174,2.9,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
35,35-44,Blue Collar,Married,Basic 6 Years,No,Yes,No,telephone,may,mon,312,5.2,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
46,45-54,Blue Collar,Married,Basic 6 Years,Unknown,Yes,Yes,telephone,may,mon,440,7.33,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
50,45-54,Blue Collar,Married,Basic 9 Years,No,Yes,Yes,telephone,may,mon,353,5.88,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
39,35-44,Management,Single,Basic 9 Years,Unknown,No,No,telephone,may,mon,195,3.25,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
30,25-34,Unemployed,Married,High School,No,No,No,telephone,may,mon,38,0.63,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
55,55-64,Blue Collar,Married,Basic 4 Years,Unknown,Yes,No,telephone,may,mon,262,4.37,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
55,55-64,Retired,Single,High School,No,Yes,No,telephone,may,mon,342,5.7,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
41,35-44,Technician,Single,High School,No,Yes,No,telephone,may,mon,181,3.02,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
37,35-44,Admin,Married,High School,No,Yes,No,telephone,may,mon,172,2.87,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
35,35-44,Technician,Married,University Degree,No,No,Yes,telephone,may,mon,99,1.65,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
59,55-64,Technician,Married,Unknown,No,Yes,No,telephone,may,mon,93,1.55,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
39,35-44,Self Employed,Married,Basic 9 Years,Unknown,No,No,telephone,may,mon,233,3.88,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
54,45-54,Technician,Single,University Degree,Unknown,No,No,telephone,may,mon,255,4.25,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
55,55-64,Unknown,Married,University Degree,Unknown,Unknown,Unknown,telephone,may,mon,362,6.03,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
46,45-54,Admin,Married,Unknown,No,No,No,telephone,may,mon,348,5.8,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
59,55-64,Technician,Married,Unknown,No,Yes,No,telephone,may,mon,386,6.43,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
49,45-54,Blue Collar,Married,Unknown,No,No,No,telephone,may,mon,73,1.22,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
54,45-54,Management,Married,Basic 4 Years,Unknown,Yes,No,telephone,may,mon,230,3.83,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
54,45-54,Blue Collar,Divorced,Basic 4 Years,No,No,No,telephone,may,mon,208,3.47,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
55,55-64,Unknown,Married,Basic 4 Years,Unknown,Yes,No,telephone,may,mon,336,5.6,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
34,25-34,Services,Married,High School,No,No,No,telephone,may,mon,365,6.08,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
52,45-54,Technician,Married,Basic 9 Years,No,Yes,No,telephone,may,mon,1666,27.77,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
41,35-44,Admin,Married,University Degree,No,Yes,No,telephone,may,mon,577,9.62,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
56,55-64,Technician,Married,Basic 4 Years,No,Yes,No,telephone,may,mon,137,2.28,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
58,55-64,Management,Unknown,University Degree,No,Yes,No,telephone,may,mon,366,6.1,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
32,25-34,Entrepreneur,Married,High School,No,Yes,No,telephone,may,mon,314,5.23,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
38,35-44,Admin,Single,Professional Course,No,No,No,telephone,may,mon,160,2.67,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
57,55-64,Admin,Married,University Degree,No,No,Yes,telephone,may,mon,212,3.53,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
44,35-44,Admin,Married,University Degree,Unknown,Yes,No,telephone,may,mon,188,3.13,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
42,35-44,Technician,Single,Professional Course,Unknown,No,No,telephone,may,mon,22,0.37,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
57,55-64,Admin,Married,University Degree,No,Yes,Yes,telephone,may,mon,616,10.27,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
40,35-44,Blue Collar,Married,Basic 9 Years,No,No,Yes,telephone,may,mon,178,2.97,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
35,35-44,Admin,Married,University Degree,No,Yes,No,telephone,may,mon,355,5.92,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
45,45-54,Blue Collar,Married,Basic 9 Years,No,Yes,No,telephone,may,mon,225,3.75,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
